TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,HighValue
TX000025,AC00241,145.54,2023-02-03 16:43:00,1,33,29,119.186.154.104,27,2,21,3,96,1,1930.96,2024-04-11 08:07:00,0
TX000032,AC00291,59.12,2023-06-02 16:24:00,1,3,223,187.199.178.27,52,0,29,0,257,1,9823.64,2024-04-11 08:06:00,0
TX000038,AC00202,649.28,2023-02-03 17:53:00,1,38,341,73.108.76.238,73,0,75,2,137,1,4875.86,2024-04-11 08:11:00,1
TX000039,AC00478,795.31,2023-12-10 17:07:00,1,23,62,49.29.37.185,47,0,66,0,90,2,7914.88,2024-04-11 08:11:00,1
TX000042,AC00480,34.02,2023-09-01 16:13:00,1,30,470,109.105.179.186,45,2,38,0,19,1,14214.48,2024-04-11 08:11:00,0
TX000044,AC00117,55.32,2023-12-04 16:03:00,1,40,159,173.135.78.201,8,0,19,3,117,1,241.79,2024-04-11 08:08:00,0
TX000046,AC00401,435.27,2023-04-10 17:49:00,1,6,235,197.162.55.147,50,1,74,2,90,1,4673.28,2024-04-11 08:11:00,0
TX000048,AC00439,510.24,2023-09-10 16:29:00,1,28,300,186.135.2.148,89,2,19,3,105,1,781.7,2024-04-11 08:11:00,1
TX000053,AC00115,85.43,2023-07-06 16:45:00,1,41,189,194.174.252.1,77,1,67,0,145,1,14904.9,2024-04-11 08:06:00,0
TX000054,AC00055,169.5,2023-07-09 16:51:00,1,36,336,42.219.228.159,35,1,28,3,142,1,918.88,2024-04-11 08:08:00,0
TX000056,AC00374,316.95,2023-04-08 17:53:00,1,23,9,81.102.230.41,51,1,25,3,83,1,1324.03,2024-04-11 08:09:00,0
TX000058,AC00456,292.56,2023-03-03 17:37:00,0,9,243,198.73.211.114,74,1,68,2,61,1,4638.37,2024-04-11 08:07:00,0
TX000059,AC00143,386.52,2023-09-06 16:18:00,1,16,117,186.54.68.246,63,1,48,1,28,1,5630.61,2024-04-11 08:07:00,0
TX000060,AC00427,112.07,2023-02-10 16:35:00,1,18,72,198.166.198.233,63,1,23,3,51,1,930.3,2024-04-11 08:11:00,0
TX000061,AC00438,568.52,2023-06-10 18:44:00,1,16,188,27.143.109.203,93,0,46,1,152,1,5499.91,2024-04-11 08:06:00,1
TX000063,AC00425,349.64,2023-07-11 16:48:00,1,19,393,9.230.41.239,96,2,48,1,226,1,6651.62,2024-04-11 08:08:00,0
TX000065,AC00434,5.77,2023-02-11 16:01:00,1,5,350,155.164.18.235,70,2,50,0,124,1,13988.12,2024-04-11 08:11:00,0
TX000069,AC00461,117.28,2023-09-02 16:34:00,0,2,104,46.150.175.171,56,2,60,1,16,1,3665.77,2024-04-11 08:07:00,0
TX000073,AC00282,24.77,2023-04-07 18:20:00,1,4,147,9.230.41.239,69,0,62,2,55,1,5866.01,2024-04-11 08:12:00,0
TX000075,AC00265,929.6075,2023-04-10 16:36:00,1,16,186,193.83.0.183,35,1,20,3,24,1,605.95,2024-04-11 08:06:00,1
TX000077,AC00007,162.63,2023-12-06 17:53:00,1,18,55,60.153.124.80,59,2,22,3,113,1,634.17,2024-04-11 08:08:00,0
TX000084,AC00220,259.91,2023-06-11 16:34:00,1,10,463,36.13.239.172,27,2,49,0,170,1,7176.86,2024-04-11 08:09:00,0
TX000085,AC00140,154.71,2023-03-07 16:40:00,1,36,376,167.104.180.235,29,2,34,0,157,1,1523.72,2024-04-11 08:09:00,0
TX000092,AC00310,223.85,2023-02-10 16:36:00,1,18,367,133.223.159.151,8,0,53,1,55,4,2929.91,2024-04-11 08:08:00,0
TX000095,AC00425,644.17,2023-02-03 16:05:00,1,35,145,165.38.56.205,92,0,29,1,72,1,1143.52,2024-04-11 08:08:00,1
TX000099,AC00453,147.62,2023-01-09 17:26:00,1,5,75,149.84.108.18,27,1,71,2,133,1,2115.8,2024-04-11 08:07:00,0
TX000100,AC00178,115.02,2023-11-09 16:19:00,1,35,399,134.222.122.238,3,1,37,0,175,1,7643.66,2024-04-11 08:08:00,0
TX000102,AC00018,98.54,2023-11-08 16:18:00,0,12,399,34.125.226.63,94,2,20,3,167,1,9383.43,2024-04-11 08:10:00,0
TX000105,AC00170,129.94,2023-02-01 16:36:00,1,19,486,111.226.226.202,44,0,32,1,235,1,7954.92,2024-04-11 08:06:00,0
TX000107,AC00013,114.98,2023-01-11 16:52:00,1,39,148,115.218.48.83,31,2,59,2,80,1,6144.68,2024-04-11 08:09:00,0
TX000108,AC00397,756.59,2023-06-03 16:47:00,1,34,21,174.61.77.54,11,1,27,3,17,1,420.65,2024-04-11 08:11:00,1
TX000114,AC00121,213.76,2023-01-03 17:52:00,0,9,433,51.250.122.123,8,0,78,2,282,1,3528.72,2024-04-11 08:09:00,0
TX000115,AC00336,327.86,2023-10-02 16:52:00,1,14,493,188.124.181.12,50,2,40,1,104,1,480.16,2024-04-11 08:06:00,0
TX000117,AC00282,300.08,2023-09-10 17:02:00,0,2,210,85.240.254.83,39,2,68,0,47,1,13546.75,2024-04-11 08:12:00,0
TX000118,AC00498,56.98,2024-01-01 16:34:00,0,28,206,101.90.40.193,85,0,43,1,122,2,5688.37,2024-04-11 08:07:00,0
TX000119,AC00085,407.65,2023-07-07 16:11:00,1,4,410,98.255.160.110,40,2,26,1,62,1,8346.64,2024-04-11 08:06:00,0
TX000126,AC00284,214.54,2023-04-08 17:46:00,0,11,93,195.226.203.234,25,2,70,0,247,1,11151.53,2024-04-11 08:11:00,0
TX000127,AC00208,598.81,2023-04-09 16:48:00,1,30,35,92.214.76.157,80,1,57,0,158,1,1415.52,2024-04-11 08:10:00,1
TX000128,AC00176,841.28,2023-09-08 17:34:00,1,40,218,101.223.82.253,82,2,26,3,80,1,1103.64,2024-04-11 08:09:00,1
TX000129,AC00053,38.15,2023-07-09 16:07:00,1,23,520,77.21.150.75,4,2,26,3,108,1,303.68,2024-04-11 08:07:00,0
TX000130,AC00320,929.6075,2023-11-07 16:39:00,1,35,11,53.218.177.171,61,1,58,0,144,1,5541.57,2024-04-11 08:09:00,1
TX000131,AC00382,124.72,2023-03-07 17:14:00,1,28,96,147.234.20.46,3,1,33,1,105,1,6309.8,2024-04-11 08:07:00,0
TX000140,AC00385,234.57,2023-01-09 16:09:00,1,6,419,45.182.28.148,44,2,23,3,120,1,263.98,2024-04-11 08:08:00,0
TX000143,AC00163,227.14,2023-03-07 17:42:00,1,5,333,197.162.55.147,56,0,18,3,294,1,341.94,2024-04-11 08:11:00,0
TX000150,AC00279,265.76,2023-06-02 17:48:00,1,30,126,3.157.63.220,48,2,54,2,92,1,4446.17,2024-04-11 08:12:00,0
TX000153,AC00303,267.9,2023-09-10 16:52:00,1,35,456,216.32.4.105,77,2,20,3,160,1,596.16,2024-04-11 08:08:00,0
TX000154,AC00442,496.03,2023-03-11 16:45:00,1,37,55,210.160.90.52,8,1,61,0,265,1,12904.66,2024-04-11 08:09:00,1
TX000156,AC00174,83.02,2023-04-09 17:59:00,0,39,183,34.92.221.183,57,2,36,1,171,1,9009.56,2024-04-11 08:11:00,0
TX000161,AC00380,139.53,2023-09-10 17:20:00,0,21,374,167.104.180.235,1,2,53,0,177,1,10098.86,2024-04-11 08:07:00,0
TX000162,AC00227,307.57,2023-09-01 16:12:00,1,11,61,128.16.32.183,48,1,33,0,285,1,5307.74,2024-04-11 08:06:00,0
TX000168,AC00332,506.28,2023-02-05 17:03:00,0,6,457,110.150.1.201,9,2,53,2,162,2,1309.95,2024-04-11 08:09:00,1
TX000169,AC00202,304.35,2023-04-12 17:07:00,1,15,222,183.39.94.209,6,1,31,1,36,1,4057.1,2024-04-11 08:08:00,0
TX000177,AC00363,929.6075,2023-10-02 18:07:00,1,12,171,93.52.44.101,0,0,29,1,106,1,2429.68,2024-04-11 08:11:00,1
TX000184,AC00077,110.93,2023-07-04 16:38:00,0,41,115,101.223.82.253,35,1,19,3,201,1,1952.35,2024-04-11 08:10:00,0
TX000185,AC00440,201.69,2023-03-01 16:46:00,1,19,469,193.108.17.115,18,0,59,0,299,1,7328.52,2024-04-11 08:10:00,0
TX000187,AC00099,929.6075,2023-06-09 16:44:00,1,17,167,32.240.176.64,31,2,78,2,57,1,5726.2,2024-04-11 08:06:00,1
TX000188,AC00258,630.36,2023-02-03 16:11:00,1,23,73,200.22.195.243,83,0,62,2,52,1,1363.65,2024-04-11 08:12:00,1
TX000190,AC00113,215.9,2023-04-01 16:02:00,1,20,312,147.119.62.178,82,0,38,0,235,1,7873.28,2024-04-11 08:10:00,0
TX000191,AC00396,929.6075,2023-10-07 17:49:00,1,42,431,188.124.181.12,71,1,79,2,165,1,5674.32,2024-04-11 08:06:00,1
TX000193,AC00265,444.89,2023-11-09 16:27:00,0,19,140,42.61.10.112,59,1,43,0,101,1,10328.23,2024-04-11 08:11:00,0
TX000195,AC00005,488.54,2023-03-07 17:47:00,1,17,355,198.24.183.157,35,1,52,1,132,1,7486.63,2024-04-11 08:07:00,0
TX000201,AC00113,307.41,2023-12-06 17:32:00,1,20,10,1.7.29.72,6,0,19,3,14,1,1057.0,2024-04-11 08:09:00,0
TX000207,AC00181,800.55,2023-04-05 16:21:00,1,28,495,8.244.162.185,61,0,31,1,108,1,9660.22,2024-04-11 08:06:00,1
TX000208,AC00370,485.54,2023-06-02 17:46:00,1,15,443,140.212.253.222,60,0,46,1,143,1,6371.51,2024-04-11 08:11:00,0
TX000210,AC00339,321.79,2023-07-08 17:30:00,0,33,407,86.103.2.29,55,0,63,2,61,1,5959.2,2024-04-11 08:10:00,0
TX000213,AC00301,694.2,2023-07-12 16:20:00,1,25,6,27.143.109.203,34,0,61,2,72,1,1389.37,2024-04-11 08:07:00,1
TX000215,AC00130,386.81,2023-03-03 18:02:00,0,11,200,34.169.232.37,38,2,57,0,149,1,7175.29,2024-04-11 08:10:00,0
TX000219,AC00070,890.24,2023-07-07 18:03:00,0,19,180,28.149.72.129,28,2,33,1,161,1,5140.93,2024-04-11 08:07:00,1
TX000220,AC00417,361.27,2023-06-01 17:01:00,1,29,511,78.100.105.143,87,0,63,0,180,1,7945.57,2024-04-11 08:10:00,0
TX000223,AC00004,547.87,2023-10-07 17:15:00,1,8,149,188.205.152.176,63,0,64,2,131,1,6155.76,2024-04-11 08:10:00,1
TX000228,AC00115,581.65,2023-09-01 16:54:00,1,4,501,80.92.209.207,8,0,22,3,176,1,480.19,2024-04-11 08:09:00,1
TX000229,AC00055,52.01,2023-07-11 16:46:00,1,23,491,178.34.103.183,18,0,48,0,85,1,1120.88,2024-04-11 08:11:00,0
TX000231,AC00401,523.74,2023-02-11 16:36:00,1,28,417,216.151.64.40,98,0,43,0,159,1,13498.55,2024-04-11 08:06:00,1
TX000238,AC00225,368.91,2023-10-03 17:49:00,1,41,179,218.238.171.184,81,1,54,0,14,1,829.71,2024-04-11 08:10:00,0
TX000240,AC00026,66.5,2023-04-05 16:44:00,0,21,316,13.88.251.53,97,2,32,1,144,1,6820.23,2024-04-11 08:08:00,0
TX000241,AC00076,177.08,2023-06-01 17:16:00,1,19,343,176.96.83.253,13,2,35,0,85,1,13475.14,2024-04-11 08:12:00,0
TX000242,AC00215,588.54,2023-06-02 17:57:00,1,32,459,211.97.88.141,30,1,32,1,130,1,714.45,2024-04-11 08:10:00,1
TX000245,AC00004,40.66,2024-01-01 16:08:00,1,21,172,148.25.159.90,60,1,59,2,156,1,1153.84,2024-04-11 08:11:00,0
TX000247,AC00415,34.07,2023-06-11 17:22:00,1,30,126,29.168.185.63,79,1,22,3,81,1,8709.77,2024-04-11 08:07:00,0
TX000249,AC00253,842.01,2023-12-09 16:43:00,0,41,168,62.152.134.92,14,2,53,0,185,1,509.45,2024-04-11 08:08:00,1
TX000250,AC00126,73.55,2023-09-01 16:09:00,1,1,169,196.121.240.10,85,0,51,1,158,1,2812.06,2024-04-11 08:11:00,0
TX000251,AC00304,760.53,2023-04-09 18:13:00,1,31,490,177.116.108.246,4,2,57,1,118,1,6179.91,2024-04-11 08:09:00,1
TX000256,AC00258,237.99,2023-08-05 16:45:00,0,18,426,168.55.35.243,42,1,39,0,86,1,8510.09,2024-04-11 08:11:00,0
TX000257,AC00073,186.6,2023-04-07 16:27:00,1,42,120,52.1.78.30,36,2,58,0,13,1,1508.72,2024-04-11 08:06:00,0
TX000259,AC00363,434.58,2023-06-09 16:28:00,1,22,110,80.92.209.207,90,0,59,0,215,1,12648.32,2024-04-11 08:08:00,0
TX000263,AC00194,47.38,2023-08-02 18:18:00,0,39,293,150.231.20.169,60,2,25,3,61,1,459.37,2024-04-11 08:07:00,0
TX000266,AC00338,12.82,2023-05-04 18:37:00,1,13,368,152.234.65.155,54,0,44,1,156,1,9045.19,2024-04-11 08:08:00,0
TX000268,AC00424,535.91,2023-07-07 16:38:00,1,19,439,104.80.232.55,96,2,43,1,22,1,9642.12,2024-04-11 08:10:00,1
TX000269,AC00147,270.72,2023-03-07 18:01:00,0,42,387,26.240.219.199,93,2,26,1,53,1,6263.96,2024-04-11 08:11:00,0
TX000270,AC00171,97.98,2023-06-02 16:09:00,1,10,358,211.42.9.0,32,1,72,2,18,1,7460.33,2024-04-11 08:08:00,0
TX000272,AC00263,251.18,2023-01-06 16:51:00,1,38,44,134.222.122.238,57,0,42,1,246,1,8303.9,2024-04-11 08:07:00,0
TX000278,AC00220,345.22,2023-05-09 16:55:00,1,14,175,164.75.163.220,24,1,69,2,253,1,4046.58,2024-04-11 08:07:00,0
TX000282,AC00362,45.77,2023-09-02 17:50:00,1,30,370,85.239.236.80,65,2,25,3,109,1,5978.12,2024-04-11 08:08:00,0
TX000283,AC00026,329.69,2023-09-01 16:54:00,0,35,220,146.69.70.214,87,2,26,3,66,1,1671.66,2024-04-11 08:09:00,0
TX000284,AC00387,362.04,2023-10-07 16:37:00,0,30,117,52.1.78.30,58,1,58,0,198,2,8421.88,2024-04-11 08:08:00,0
TX000285,AC00451,11.92,2023-09-10 17:48:00,1,36,513,192.95.36.246,62,1,53,0,52,1,14611.9,2024-04-11 08:11:00,0
TX000288,AC00159,151.19,2023-05-05 16:04:00,0,27,496,217.233.219.196,60,1,37,0,96,1,11903.82,2024-04-11 08:11:00,0
TX000289,AC00177,242.62,2023-10-07 16:40:00,0,37,257,138.87.180.254,93,2,22,3,234,1,483.02,2024-04-11 08:07:00,0
TX000293,AC00189,443.79,2023-09-10 18:28:00,1,19,307,198.39.35.23,98,0,53,2,87,1,3133.85,2024-04-11 08:11:00,0
TX000294,AC00495,365.14,2023-01-12 18:46:00,1,9,479,173.232.121.213,1,2,68,2,57,1,5894.09,2024-04-11 08:07:00,0
TX000295,AC00148,757.41,2023-05-05 16:31:00,1,20,291,125.89.163.224,47,0,22,3,37,1,9532.42,2024-04-11 08:09:00,1
TX000297,AC00381,475.36,2023-02-10 16:03:00,1,31,408,132.127.5.187,17,0,34,1,105,1,2000.6,2024-04-11 08:06:00,0
TX000299,AC00495,689.54,2023-06-03 16:46:00,1,28,298,89.6.100.149,37,1,27,3,93,1,1633.76,2024-04-11 08:08:00,1
TX000305,AC00306,361.46,2023-07-04 17:23:00,1,26,136,171.150.178.172,92,2,21,3,83,1,4737.84,2024-04-11 08:10:00,0
TX000308,AC00389,131.93,2023-11-09 17:31:00,0,13,198,216.32.4.105,48,1,31,1,13,1,4547.06,2024-04-11 08:06:00,0
TX000311,AC00386,49.99,2023-09-02 17:53:00,1,29,503,155.140.33.42,61,0,62,2,139,1,2299.64,2024-04-11 08:08:00,0
TX000314,AC00445,485.54,2023-08-12 16:47:00,1,21,263,121.67.144.20,79,2,19,3,148,1,1533.32,2024-04-11 08:11:00,0
TX000315,AC00371,321.15,2023-10-02 17:06:00,1,20,122,200.164.13.160,36,1,46,0,179,1,7005.05,2024-04-11 08:06:00,0
TX000317,AC00200,12.23,2023-12-10 16:02:00,1,15,144,23.92.205.75,64,0,42,1,139,1,7844.88,2024-04-11 08:07:00,0
TX000320,AC00444,29.34,2023-09-03 17:37:00,1,21,22,40.198.240.246,86,2,65,2,30,1,3944.82,2024-04-11 08:11:00,0
TX000322,AC00300,179.43,2023-11-08 18:20:00,1,28,318,189.198.67.252,3,0,58,2,244,1,2626.63,2024-04-11 08:10:00,0
TX000324,AC00248,138.12,2023-11-04 17:18:00,0,20,148,45.182.28.148,66,1,53,0,281,1,1649.69,2024-04-11 08:11:00,0
TX000329,AC00264,354.4,2023-06-11 17:23:00,1,6,313,87.234.36.48,45,0,74,2,128,1,7358.65,2024-04-11 08:10:00,0
TX000333,AC00418,288.17,2023-08-09 16:48:00,1,41,302,143.212.47.226,11,2,37,1,50,1,3653.11,2024-04-11 08:10:00,0
TX000334,AC00187,118.77,2023-02-10 17:44:00,1,1,242,104.80.232.55,65,1,55,1,123,1,2104.82,2024-04-11 08:10:00,0
TX000338,AC00439,138.95,2023-02-06 16:48:00,1,42,510,104.155.121.252,89,2,71,2,30,1,6752.92,2024-04-11 08:08:00,0
TX000339,AC00055,33.89,2023-10-11 16:10:00,1,26,442,14.105.144.122,78,1,26,3,177,1,1444.75,2024-04-11 08:11:00,0
TX000341,AC00107,929.6075,2023-01-03 16:31:00,1,35,330,62.27.235.199,81,2,55,1,238,1,2235.7,2024-04-11 08:11:00,1
TX000343,AC00493,17.07,2023-01-05 17:17:00,1,20,449,47.82.77.181,22,1,27,1,44,1,2798.15,2024-04-11 08:11:00,0
TX000347,AC00375,147.4,2023-09-06 16:10:00,1,38,224,92.214.76.157,66,1,42,1,259,1,6797.71,2024-04-11 08:07:00,0
TX000349,AC00376,308.42,2023-02-05 16:14:00,1,26,218,76.0.164.168,76,1,75,2,39,1,5427.81,2024-04-11 08:06:00,0
TX000351,AC00040,294.15,2023-02-02 16:19:00,1,14,385,112.86.148.212,19,2,38,1,136,1,6362.16,2024-04-11 08:07:00,0
TX000353,AC00365,139.45,2023-10-07 16:43:00,1,4,112,77.7.223.184,3,2,27,3,31,1,1305.76,2024-04-11 08:10:00,0
TX000355,AC00349,131.43,2023-01-02 18:47:00,1,5,296,77.7.223.184,52,2,43,0,65,1,1337.5,2024-04-11 08:12:00,0
TX000356,AC00374,516.72,2023-09-10 18:43:00,1,23,372,197.187.216.106,24,0,42,1,128,1,2015.69,2024-04-11 08:11:00,1
TX000357,AC00261,121.82,2023-07-02 17:20:00,1,7,77,186.54.68.246,93,2,69,0,123,3,8354.54,2024-04-11 08:08:00,0
TX000359,AC00331,166.13,2023-06-09 17:01:00,1,29,361,29.168.185.63,12,0,68,0,227,1,11822.53,2024-04-11 08:12:00,0
TX000360,AC00165,626.9,2023-10-10 16:42:00,1,6,519,59.12.96.11,16,0,23,3,146,1,587.11,2024-04-11 08:11:00,1
TX000364,AC00478,525.28,2023-03-04 16:37:00,1,7,427,70.130.169.235,10,0,69,2,134,1,4693.6,2024-04-11 08:09:00,1
TX000365,AC00272,110.17,2023-07-09 16:08:00,1,33,39,156.235.3.171,53,0,30,1,137,1,464.2,2024-04-11 08:12:00,0
TX000366,AC00092,632.69,2023-12-09 16:28:00,1,10,347,211.97.88.141,46,0,80,2,76,1,4363.74,2024-04-11 08:09:00,1
TX000367,AC00332,124.35,2023-08-12 16:39:00,1,28,67,49.20.211.229,14,0,72,2,90,1,3319.76,2024-04-11 08:11:00,0
TX000369,AC00327,283.81,2023-09-03 16:31:00,1,36,278,64.57.44.102,45,1,28,3,29,1,1519.35,2024-04-11 08:10:00,0
TX000375,AC00014,643.22,2023-03-05 17:04:00,1,1,200,175.166.115.182,72,0,64,0,93,1,1035.86,2024-04-11 08:07:00,1
TX000377,AC00131,208.07,2023-10-07 16:51:00,1,28,69,157.164.245.130,99,2,32,0,36,1,8478.9,2024-04-11 08:11:00,0
TX000380,AC00488,30.23,2023-06-11 17:53:00,1,2,306,134.247.5.188,48,0,44,0,99,1,481.13,2024-04-11 08:12:00,0
TX000382,AC00021,180.24,2023-03-07 17:03:00,1,31,88,169.67.220.37,97,1,58,1,144,1,8431.23,2024-04-11 08:09:00,0
TX000386,AC00456,101.04,2023-10-07 18:16:00,1,35,15,143.212.47.226,66,0,27,3,160,1,1695.57,2024-04-11 08:06:00,0
TX000389,AC00279,99.36,2023-09-05 16:55:00,1,39,14,93.151.52.152,3,0,40,0,46,1,1272.12,2024-04-11 08:09:00,0
TX000394,AC00265,215.94,2023-05-06 16:06:00,0,41,30,53.218.177.171,20,2,22,3,140,1,1841.69,2024-04-11 08:10:00,0
TX000397,AC00039,416.37,2023-11-10 16:14:00,1,8,519,198.24.183.157,14,2,35,1,67,1,7936.91,2024-04-11 08:08:00,0
TX000401,AC00145,194.85,2023-12-09 16:50:00,1,17,452,148.234.210.167,95,2,23,3,130,4,319.84,2024-04-11 08:08:00,0
TX000404,AC00020,353.82,2023-10-04 17:57:00,1,25,36,72.128.135.172,34,0,42,0,143,1,705.75,2024-04-11 08:06:00,0
TX000407,AC00401,364.42,2023-10-10 17:07:00,1,7,357,120.32.147.210,77,0,51,1,146,1,8119.73,2024-04-11 08:09:00,0
TX000409,AC00177,230.61,2023-04-09 16:41:00,1,33,68,97.4.209.133,75,1,80,2,204,1,2561.42,2024-04-11 08:09:00,0
TX000418,AC00274,775.23,2023-07-08 16:40:00,0,0,178,112.222.0.29,35,2,59,0,38,1,5977.59,2024-04-11 08:07:00,1
TX000421,AC00318,929.6075,2023-11-12 17:19:00,1,5,14,30.92.249.132,17,1,53,2,251,1,5579.11,2024-04-11 08:07:00,1
TX000425,AC00267,119.72,2023-03-02 18:15:00,1,40,339,147.227.81.224,10,1,30,1,123,1,3435.34,2024-04-11 08:10:00,0
TX000429,AC00182,677.29,2023-01-05 18:28:00,1,15,12,49.172.82.247,14,2,27,1,287,1,627.79,2024-04-11 08:07:00,1
TX000434,AC00475,85.35,2023-05-07 16:08:00,1,42,391,100.4.40.132,73,0,66,2,166,1,2173.76,2024-04-11 08:06:00,0
TX000435,AC00217,79.76,2023-06-02 16:26:00,1,33,211,157.130.28.27,54,1,39,1,170,1,6452.14,2024-04-11 08:09:00,0
TX000436,AC00452,778.49,2023-03-07 16:48:00,0,29,84,161.71.2.223,53,2,75,2,107,1,7713.67,2024-04-11 08:09:00,1
TX000444,AC00273,136.32,2023-11-10 18:50:00,1,24,414,217.233.219.196,59,2,19,3,113,1,264.83,2024-04-11 08:09:00,0
TX000445,AC00280,251.06,2023-06-12 17:27:00,1,7,445,195.237.152.198,2,2,36,0,34,1,10001.66,2024-04-11 08:10:00,0
TX000448,AC00072,73.28,2023-10-03 17:33:00,1,4,111,206.84.69.39,95,1,21,3,21,1,1329.41,2024-04-11 08:10:00,0
TX000450,AC00407,689.29,2023-06-01 17:30:00,1,12,226,166.41.54.117,33,0,22,3,100,1,168.84,2024-04-11 08:07:00,1
TX000451,AC00495,745.03,2023-03-08 17:42:00,1,13,24,30.92.249.132,74,2,28,3,231,1,160.57,2024-04-11 08:09:00,1
TX000452,AC00119,54.61,2023-04-12 16:10:00,1,25,64,39.163.103.27,42,0,58,1,160,1,7135.64,2024-04-11 08:07:00,0
TX000454,AC00235,107.47,2023-12-04 17:39:00,1,2,457,59.208.79.116,36,2,67,2,144,1,7517.5,2024-04-11 08:12:00,0
TX000456,AC00307,219.63,2023-10-11 16:06:00,1,5,178,146.47.189.38,1,0,48,0,44,1,8013.63,2024-04-11 08:07:00,0
TX000457,AC00434,188.7,2023-10-02 16:01:00,1,27,382,55.139.104.163,98,1,54,2,123,1,5077.06,2024-04-11 08:09:00,0
TX000462,AC00200,697.32,2023-11-05 16:30:00,1,1,219,163.58.140.206,79,2,68,2,91,1,2016.02,2024-04-11 08:11:00,1
TX000466,AC00177,623.9,2023-08-08 17:44:00,1,38,129,206.84.69.39,4,0,27,3,249,1,711.47,2024-04-11 08:10:00,1
TX000469,AC00218,346.85,2023-03-11 18:33:00,1,18,104,13.149.61.4,24,0,44,0,88,1,7208.15,2024-04-11 08:10:00,0
TX000476,AC00464,929.6075,2023-04-09 18:46:00,1,28,426,7.105.184.86,81,0,18,3,168,1,1058.13,2024-04-11 08:11:00,1
TX000481,AC00306,144.3,2023-08-12 17:24:00,1,28,80,93.170.203.44,48,0,18,3,88,1,312.19,2024-04-11 08:10:00,0
TX000482,AC00229,348.7,2023-02-05 17:13:00,0,14,142,142.184.68.230,66,1,69,2,149,1,2445.58,2024-04-11 08:06:00,0
TX000483,AC00148,366.21,2023-12-01 17:57:00,1,28,369,210.160.90.52,51,0,62,0,181,1,10862.99,2024-04-11 08:11:00,0
TX000484,AC00305,99.11,2023-01-05 16:58:00,1,30,157,42.219.228.159,14,2,55,2,12,1,5414.87,2024-04-11 08:09:00,0
TX000486,AC00400,188.99,2023-08-06 16:43:00,1,28,417,200.136.146.93,64,1,58,1,92,1,7315.34,2024-04-11 08:07:00,0
TX000488,AC00128,710.14,2023-08-03 16:20:00,1,12,502,83.207.115.164,58,0,26,3,227,1,465.63,2024-04-11 08:12:00,1
TX000493,AC00213,66.58,2023-04-12 17:06:00,1,33,316,20.147.6.179,39,1,23,3,79,1,1636.32,2024-04-11 08:08:00,0
TX000494,AC00075,223.43,2023-08-02 17:59:00,1,9,77,198.73.211.114,90,1,77,2,178,1,7932.41,2024-04-11 08:09:00,0
TX000496,AC00039,634.86,2023-10-08 16:28:00,1,6,122,122.94.26.104,8,0,27,3,45,1,588.5,2024-04-11 08:08:00,1
TX000499,AC00450,654.48,2023-07-08 16:37:00,1,8,219,148.112.151.27,46,1,19,3,114,1,6776.41,2024-04-11 08:10:00,1
TX000501,AC00433,120.9,2023-12-07 16:17:00,1,40,157,200.136.146.93,73,1,40,0,52,1,9009.42,2024-04-11 08:08:00,0
TX000504,AC00080,149.25,2023-10-04 16:38:00,1,29,455,3.77.114.6,66,0,39,1,142,1,5677.52,2024-04-11 08:07:00,0
